case,mcl_1st,mcl_4th,mcl_wake,mcl_wake_mid,mcd_1st,mcd_4th,mcd_wake,mcd_wake_mid,mcmh_1st,mcmh_4th,mcmh_wake,mcmh_wake_mid,mcmv_1st,mcmv_4th,mcmv_wake,mcmv_wake_mid
phi90.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_sinu,0.73176151,0.67812405,-0.053637453,-0.029881451,1.0078995,0.94377149,-0.064128021,-0.029881451,0.99155484,0.99556864,0.0040138081,0.0063405129,1.0859238,1.0927074,0.0067835792,0.032636267
phi90.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_sinu,0.83772909,0.8372179,-0.00051118832,0.014100413,1.2386057,1.2247069,-0.013898839,0.014100413,0.92600521,0.96337563,0.037370416,0.035071332,1.2326613,1.2853729,0.052711597,0.079430095
phi140.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_sinu,0.84691693,0.75281605,-0.094100884,-0.041195145,1.1478009,1.0053468,-0.14245403,-0.041195145,0.98217082,0.97042738,-0.011743445,0.030951019,1.1377552,1.0952658,-0.042489447,-0.0066932581
phi140.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_sinu,0.88587471,0.82083649,-0.065038215,-0.028724263,1.1202044,1.043975,-0.076229381,-0.028724263,0.99748627,0.99316264,-0.0043236262,0.031214128,1.0917418,1.084901,-0.0068408437,0.032473487
phi140.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_sinu,0.60960775,0.60469617,-0.0049115732,-0.029573347,1.2138843,1.23322,0.019335638,-0.029573347,0.94695337,0.98606872,0.039115345,0.026882069,1.0185032,1.0809887,0.062485424,0.053952183
phi140.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_sinu,0.84375696,0.83288183,-0.010875122,-0.01332418,1.2376815,1.2058302,-0.031851361,-0.01332418,0.90583304,0.9443006,0.038467562,0.034536597,1.0986691,1.1421116,0.043442575,0.039067887
phi140.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_sinu,0.85097186,0.70936098,-0.14161088,-0.053809283,1.1107439,1.008323,-0.10242086,-0.053809283,1.0263783,0.98027184,-0.046106494,0.01290709,1.1239636,1.0641713,-0.059792204,-0.003140248
phi140.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_sinu,0.87867832,0.80624453,-0.072433782,-0.01932875,1.1681069,1.1064063,-0.061700595,-0.01932875,1.0270889,1.0108602,-0.01622866,0.028342499,1.1303368,1.1219907,-0.0083460603,0.04781875
phi140.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_sinu,0.79938771,0.77970469,-0.019683025,0.0021842147,1.1311668,1.1171516,-0.014015174,0.0021842147,0.9977429,1.0216491,0.023906219,0.044975873,1.0692463,1.1115707,0.042324433,0.068646363
phi140.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_sinu,0.92769218,0.91571233,-0.011979841,0.006868898,1.218565,1.1913432,-0.027221849,0.006868898,0.96243361,0.99283011,0.030396496,0.044122318,1.1233267,1.152196,0.028869278,0.05459632
phi140.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_sinu,0.83312737,0.66544666,-0.1676807,-0.086722762,1.098368,0.95851854,-0.13984943,-0.086722762,1.0335499,0.92470557,-0.10884431,-0.048447512,1.1238632,1.0057804,-0.11808281,-0.05913052
phi140.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_sinu,0.83135286,0.69530537,-0.13604749,-0.059428267,1.0922679,0.99169898,-0.10056891,-0.059428267,1.036422,0.96327798,-0.073144055,-0.013527658,1.1255411,1.0771055,-0.048435664,0.011900097
phi140.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_sinu,0.84317093,0.77325251,-0.069918425,-0.021931182,1.1029781,1.0390245,-0.063953593,-0.021931182,1.031258,1.0204881,-0.010769914,0.021657125,1.1065892,1.1035346,-0.0030545725,0.031723699
phi140.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_sinu,0.94024362,0.87654996,-0.063693661,-0.017536229,1.1863554,1.12278,-0.063575368,-0.017536229,1.0021449,0.97974516,-0.022399741,0.013939191,1.140432,1.1269808,-0.013451145,0.031882007
phi90.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,0.10410123,0.093627307,-0.01047392,-0.094282316,1.0632531,0.95386026,-0.10939284,-0.094282316,0.54788001,0.60325991,0.055379901,-0.031022095,0.96952908,1.0990642,0.12953508,-0.047132151
phi90.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,0.50160131,0.54115871,0.039557404,-0.018496141,1.0871156,1.1659574,0.078841852,-0.018496141,0.62081353,0.72305189,0.10223836,0.038655609,1.0806863,1.2782857,0.19759934,0.12684316
phi90.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,0.1074743,0.13749382,0.030019524,-0.023908268,1.123864,1.2880336,0.1641696,-0.023908268,0.66852305,0.754337,0.085813956,0.032531263,0.98732798,1.2152675,0.22793951,0.15978456
phi90.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_trapzoidal,0.40220215,0.52739052,0.12518837,0.01699372,1.1314283,1.3917436,0.26031533,0.01699372,0.53662936,0.65409131,0.11746196,0.027312476,1.0541254,1.3492829,0.29515745,0.15008936
phi90.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,0.38349784,0.41879133,0.035293489,-0.025165739,1.0876242,1.1124577,0.024833418,-0.025165739,0.59436408,0.69703108,0.10266699,0.021673028,1.1113951,1.2324408,0.1210457,0.037999934
phi90.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,0.48071078,0.4380361,-0.042674679,-0.056134247,1.0415083,1.1376599,0.096151513,-0.056134247,0.64452261,0.68342845,0.038905837,0.0016595463,1.0539337,1.2461912,0.1922575,0.15533815
phi90.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,0.27855381,0.33970897,0.061155158,0.012861921,1.0201008,1.2235596,0.20345885,0.012861921,0.67506709,0.78516105,0.11009396,0.055660234,0.95726548,1.2193609,0.26209543,0.20573704
phi90.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_trapzoidal,0.48516295,0.64870838,0.16354544,0.066693195,1.1910239,1.3849693,0.19394538,0.066693195,0.57659074,0.74097691,0.16438616,0.075206063,1.1257663,1.3737701,0.24800382,0.15103402
phi90.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,0.40609234,0.39167106,-0.014421281,-0.027709647,1.0511414,1.0290004,-0.022140943,-0.027709647,0.65704183,0.70649628,0.049454452,0.0037533271,1.1224044,1.1859204,0.063515919,0.010022434
phi90.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,0.5133464,0.52924383,0.015897426,-0.0043745168,1.0309631,1.1469961,0.11603305,-0.0043745168,0.69298949,0.77093461,0.077945126,0.028112248,1.080316,1.2743861,0.19407011,0.14970046
phi90.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,0.44455751,0.48977225,0.045214742,0.024362367,1.0399555,1.2081152,0.16815967,0.024362367,0.74432556,0.8574688,0.11314324,0.068430077,1.0581097,1.3035471,0.24543736,0.21443962
phi90.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_trapzoidal,0.57842104,0.75399791,0.17557687,0.11463688,1.1533231,1.3218391,0.16851593,0.11463688,0.65789846,0.86605993,0.20816148,0.13498984,1.1456141,1.3976372,0.25202308,0.20332351
phi140.0__ar3.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,0.26688403,0.21251875,-0.054365284,-0.021873258,1.2420152,1.2704734,0.028458142,-0.021873258,0.7411551,0.77602417,0.034869071,0.049804816,1.0604608,1.1706831,0.1102223,0.11526323
phi140.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,0.67283844,0.64506506,-0.027773376,-0.0062850558,1.0481948,1.1017265,0.053531775,-0.0062850558,0.75817103,0.7900739,0.03190287,0.041775358,1.0318344,1.1591815,0.12734717,0.14155044
phi140.0__ar5.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,0.31853284,0.35037904,0.031846203,0.0087212901,1.1310673,1.2837983,0.15273099,0.0087212901,0.74152211,0.80756966,0.066047545,0.05264823,0.91292413,1.0974694,0.18454524,0.16339536
phi140.0__ar5.0_ofs0.0_r1h0.4__Re5000.0_trapzoidal,0.60340624,0.6188006,0.015394359,0.026500533,1.209699,1.2960728,0.086373782,0.026500533,0.69075377,0.75232905,0.061575282,0.069534724,1.0707755,1.2082992,0.13752371,0.15870157
phi140.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,0.5933883,0.55757193,-0.035816371,0.010020148,1.0506179,1.042137,-0.0084808453,0.010020148,0.76210469,0.79322044,0.031115749,0.055114467,1.0619394,1.1487732,0.086833802,0.12672517
phi140.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,0.66044672,0.63887952,-0.021567198,0.011127304,1.0484648,1.1287019,0.080237082,0.011127304,0.78198815,0.8211735,0.039185358,0.055820167,1.026197,1.1731858,0.14698885,0.17273215
phi140.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,0.5169008,0.5462804,0.029379597,0.034108392,1.0157839,1.151469,0.13568511,0.034108392,0.76105591,0.83513096,0.074075044,0.075073328,0.91647408,1.101116,0.18464191,0.186959
phi140.0__ar5.0_ofs0.0_r1h0.5__Re5000.0_trapzoidal,0.67965713,0.73063203,0.050974893,0.06063322,1.1393218,1.2822331,0.14291126,0.06063322,0.72374935,0.80869631,0.084946961,0.09104215,1.0590086,1.2446888,0.18568027,0.19755254
phi140.0__ar3.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,0.60069262,0.54690981,-0.05378281,-0.0021599173,0.99184762,1.0141612,0.022313612,-0.0021599173,0.77964868,0.77964447,-4.2109439e-06,0.031993693,1.047591,1.1350096,0.087418531,0.11942491
phi140.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,0.65200395,0.61231763,-0.03968632,0.019835961,1.0092328,1.0695146,0.060281829,0.019835961,0.79665029,0.81606788,0.019417599,0.061200113,1.0260731,1.1503892,0.12431604,0.17652308
phi140.0__ar5.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,0.59025645,0.59970793,0.0094514825,0.04839138,0.99668254,1.0941854,0.097502843,0.04839138,0.77854362,0.84850098,0.069957363,0.096178044,0.98494462,1.1524977,0.16755304,0.1962746
phi140.0__ar5.0_ofs0.0_r1h0.6__Re5000.0_trapzoidal,0.72098088,0.80782983,0.086848953,0.10107374,1.1394328,1.2989817,0.15954892,0.10107374,0.76546993,0.89037894,0.12490901,0.13247168,1.0933189,1.3104816,0.21716267,0.23671302
